# SUBTLEX-US word frequencies (Brysbaert & New 2009; Zipf scale per Van Heuven et al. 2014)
# word	zipf	dominant_part_of_speech
hope	5.505	Verb
open	5.505	Verb
already	5.503	Adverb
since	5.498	Conjunction
looks	5.493	Verb
sit	5.493	Verb
mrs	5.492	Noun
cause	5.491	Noun
alone	5.489	Adjective
hard	5.488	Adjective
wants	5.487	Verb
stuff	5.486	Noun
turn	5.486	Verb
days	5.485	Noun
friends	5.484	Noun
until	5.48	Conjunction
few	5.479	Determiner
kids	5.478	Noun
honey	5.477	Noun
gone	5.472	Verb
both	5.47	Determiner
door	5.465	Noun
later	5.465	Adverb
saying	5.464	Verb
such	5.464	Determiner
killed	5.462	Verb
face	5.461	Noun
having	5.461	Verb
worry	5.457	Verb
ago	5.456	Adverb
five	5.455	Number
second	5.454	Noun
brother	5.453	Noun
damn	5.452	Adjective
case	5.45	Noun
thinking	5.449	Verb
probably	5.448	Adverb
hand	5.446	Noun
check	5.445	Verb
year	5.443	Noun
forget	5.442	Verb
hit	5.439	Verb
lost	5.437	Verb
minutes	5.436	Noun
crazy	5.434	Adjective
late	5.43	Adjective
phone	5.43	Noun
nobody	5.425	Pronoun
easy	5.424	Adjective
end	5.424	Noun
doctor	5.421	Noun
shut	5.421	Verb
under	5.418	Preposition
deal	5.417	Noun
part	5.417	Noun
die	5.416	Verb
soon	5.41	Adverb
four	5.407	Number
anyone	5.406	Pronoun
happen	5.405	Verb
pay	5.405	Verb
each	5.403	Pronoun
true	5.403	Adjective
eat	5.401	Verb
supposed	5.401	Adjective
jack	5.4	Name
mine	5.399	Pronoun
working	5.398	Verb
town	5.394	Noun
afraid	5.393	Adjective
drink	5.393	Noun
exactly	5.392	Adverb
whatever	5.392	Determiner
hurt	5.391	Verb
knows	5.389	Verb
heart	5.387	Noun
gave	5.386	Verb
young	5.385	Adjective
everyone	5.383	Pronoun
chance	5.382	Noun
makes	5.382	Verb
read	5.382	Verb
number	5.381	Noun
change	5.38	Verb
taking	5.38	Verb
anyway	5.377	Adverb
married	5.377	Adjective
week	5.377	Noun
hands	5.373	Noun
point	5.373	Noun
police	5.373	Noun
word	5.372	Noun
bit	5.371	Noun
fun	5.371	Noun
wish	5.371	Verb
aren	5.369	Noun
game	5.368	Noun
party	5.367	Noun
set	5.364	Verb
cut	5.361	Verb
comes	5.358	Verb
sleep	5.357	Verb
shot	5.356	Noun
anybody	5.355	Pronoun
ass	5.354	Noun
stand	5.354	Verb
water	5.352	Noun
boys	5.35	Noun
couple	5.349	Noun
dear	5.349	Interjection
trouble	5.349	Noun
gets	5.347	Verb
making	5.347	Verb
eyes	5.345	Noun
break	5.344	Verb
far	5.343	Adverb
story	5.343	Noun
times	5.342	Noun
close	5.341	Adjective
means	5.339	Verb
funny	5.338	Adjective
goes	5.336	Verb
lady	5.336	Noun
death	5.335	Noun
asked	5.334	Verb
walk	5.334	Verb
fire	5.333	Noun
hours	5.332	Noun
hate	5.331	Verb
gun	5.328	Noun
person	5.328	Noun
rest	5.328	Noun
inside	5.324	Adverb
waiting	5.324	Verb
captain	5.318	Noun
girls	5.318	Noun
least	5.317	Adverb
also	5.314	Adverb
line	5.314	Noun
yours	5.311	Pronoun
office	5.309	Noun
dinner	5.306	Noun
quite	5.306	Adverb
against	5.304	Preposition
fight	5.303	Verb
side	5.302	Noun
half	5.299	Determiner
six	5.299	Number
ahead	5.297	Adverb
michael	5.297	Name
pick	5.297	Verb
question	5.297	Noun
body	5.291	Noun
cool	5.291	Adjective
women	5.291	Noun
high	5.289	Adjective
husband	5.289	Noun
john	5.287	Name
almost	5.286	Adverb
reason	5.286	Noun
dog	5.285	Noun
buy	5.284	Verb
truth	5.283	Noun
met	5.281	Verb
telling	5.28	Verb
hot	5.278	Adjective
anymore	5.274	Adverb
behind	5.273	Preposition
started	5.273	Verb
bed	5.272	Noun
speak	5.272	Verb
moment	5.271	Noun
tried	5.271	Verb
blood	5.269	Noun
daddy	5.267	Noun
shall	5.267	Verb
stupid	5.265	Adjective
along	5.262	Adverb
either	5.261	Adverb
though	5.259	Conjunction
front	5.258	Preposition
sister	5.256	Noun
bye	5.255	Interjection
send	5.254	Verb
welcome	5.253	Verb
trust	5.25	Verb
free	5.249	Adjective
book	5.247	Noun
answer	5.245	Verb
between	5.243	Preposition
children	5.243	Noun
war	5.242	Noun
hurry	5.239	Verb
brought	5.236	Verb
fact	5.236	Noun
bet	5.235	Verb
clear	5.235	Adjective
its	5.234	Pronoun
white	5.234	Adjective
daughter	5.233	Noun
glad	5.233	Adjective
outside	5.23	Adverb
city	5.228	Noun
bitch	5.227	Noun
black	5.225	Adjective
feeling	5.225	Verb
seems	5.224	Verb
full	5.222	Adjective
till	5.221	Conjunction
sick	5.218	Adjective
light	5.217	Noun
shoot	5.217	Verb
news	5.216	Noun
lose	5.215	Verb
months	5.212	Noun
hour	5.21	Noun
save	5.21	Verb
country	5.209	Noun
jesus	5.207	Name
needs	5.206	Verb
wow	5.204	Interjection
able	5.203	Adjective
frank	5.202	Name
perfect	5.2	Adjective
shouldn	5.199	Verb
running	5.198	Verb
child	5.197	Noun
died	5.196	Verb
whoa	5.196	Interjection
living	5.194	Verb
order	5.194	Noun
sounds	5.193	Verb
alive	5.188	Adjective
food	5.188	Noun
hair	5.186	Noun
luck	5.186	Noun
drive	5.185	Verb
promise	5.184	Verb
sex	5.182	Noun
music	5.18	Noun
power	5.173	Noun
sort	5.172	Adverb
serious	5.171	Adjective
special	5.171	Adjective
dance	5.17	Verb
red	5.17	Adjective
street	5.17	Noun
hang	5.169	Verb
team	5.169	Noun
touch	5.169	Verb
playing	5.168	Verb
company	5.167	Noun
george	5.165	Name
pull	5.165	Verb
plan	5.163	Noun
sweet	5.161	Adjective
ten	5.161	Number
coffee	5.159	Noun
lucky	5.156	Adjective
sound	5.156	Verb
safe	5.155	Adjective
date	5.15	Noun
leaving	5.15	Verb
parents	5.148	Noun
himself	5.147	Pronoun
lives	5.145	Noun
seem	5.145	Verb
air	5.143	Noun
picture	5.141	Noun
taken	5.141	Verb
york	5.141	Name
ladies	5.14	Noun
lord	5.14	Noun
sent	5.139	Verb
fast	5.138	Adverb
happens	5.137	Verb
perhaps	5.133	Adverb
catch	5.131	Verb
ride	5.131	Noun
win	5.129	Verb
kidding	5.126	Verb
scared	5.125	Adjective
top	5.125	Noun
dream	5.124	Noun
sign	5.124	Verb
meeting	5.121	Noun
beat	5.119	Verb
sense	5.119	Noun
control	5.116	Noun
drop	5.115	Verb
cold	5.114	Adjective
weeks	5.114	Noun
darling	5.112	Noun
figure	5.111	Verb
king	5.111	Noun
poor	5.11	Adjective
throw	5.109	Verb
asking	5.108	Verb
joe	5.107	Name
write	5.103	Verb
cannot	5.102	#N/A
suppose	5.099	Verb
human	5.096	Adjective
small	5.096	Adjective
piece	5.095	Noun
boss	5.094	Noun
hospital	5.094	Noun
uncle	5.093	Noun
calling	5.092	Verb
past	5.092	Noun
known	5.091	Verb
follow	5.09	Verb
sam	5.09	Name
movie	5.089	Noun
straight	5.087	Adverb
weren	5.087	Noun
words	5.086	Noun
clean	5.083	Adjective
kiss	5.083	Verb
looked	5.082	Verb
evening	5.081	Noun
feet	5.081	Noun
lie	5.08	Verb
million	5.08	Noun
felt	5.078	Verb
moving	5.078	Verb
step	5.074	Verb
bill	5.073	Name
fall	5.073	Verb
learn	5.073	Verb
class	5.069	Noun
finally	5.069	Adverb
takes	5.069	Verb
quiet	5.068	Adjective
wonder	5.068	Verb
goodbye	5.066	Interjection
law	5.065	Noun
become	5.062	Verb
general	5.062	Noun
worked	5.061	Verb
possible	5.057	Adjective
rather	5.057	Adverb
goddamn	5.056	Adjective
unless	5.055	Conjunction
mad	5.054	Adjective
tired	5.051	Adjective
murder	5.049	Noun
eye	5.048	Noun
mike	5.048	Name
road	5.048	Noun
except	5.047	Conjunction
charlie	5.045	Name
explain	5.045	Verb
less	5.045	Adverb
none	5.043	Pronoun
loved	5.042	Verb
giving	5.041	Verb
secret	5.039	Noun
seeing	5.039	Verb
tom	5.039	Name
wear	5.038	Verb
worth	5.038	Preposition
act	5.037	Verb
careful	5.036	Adjective
quick	5.036	Adjective
handle	5.035	Verb
early	5.033	Adverb
pass	5.033	Verb
report	5.033	Noun
state	5.032	Noun
busy	5.027	Adjective
table	5.023	Noun
turned	5.023	Verb
wake	5.022	Verb
ball	5.021	Noun
broke	5.021	Verb
works	5.021	Verb
major	5.02	Adjective
marry	5.018	Verb
meant	5.018	Verb
mouth	5.018	Noun
seven	5.018	Number
fault	5.017	Noun
lunch	5.017	Noun
expect	5.016	Verb
hmm	5.015	Interjection
mama	5.015	Noun
future	5.014	Noun
paper	5.014	Noun
hotel	5.013	Noun
officer	5.013	Noun
buddy	5.012	Noun
agent	5.011	Noun
thinks	5.011	Verb
blue	5.01	Adjective
talked	5.01	Verb
american	5.009	Adjective
david	5.008	Name
mistake	5.008	Noun
ones	5.006	Noun
wedding	5.006	Noun
changed	5.004	Verb
clothes	5.004	Noun
weird	5.004	Adjective
court	5.003	Noun
floor	5.002	Noun
building	4.998	Noun
watching	4.998	Verb
dude	4.997	Noun
earth	4.997	Noun
others	4.996	Noun
finish	4.995	Verb
forgot	4.995	Verb
longer	4.995	Adverb
ship	4.995	Noun
club	4.994	Noun
eight	4.992	Number
worse	4.991	Adjective
ben	4.99	Name
pain	4.99	Noun
blow	4.989	Verb
choice	4.989	Noun
sing	4.989	Verb
ray	4.988	Name
birthday	4.987	Noun
stick	4.987	Verb
relax	4.985	Verb
colonel	4.983	Noun
honor	4.983	Noun
smart	4.983	Adjective
boat	4.981	Noun
plane	4.98	Noun
given	4.978	Verb
lovely	4.978	Adjective
month	4.978	Noun
train	4.977	Noun
fair	4.976	Adjective
ooh	4.976	Interjection
worried	4.976	Adjective
needed	4.975	Verb
cover	4.974	Verb
security	4.974	Noun
sitting	4.974	Verb
across	4.973	Preposition
bag	4.973	Noun
paul	4.973	Name
terrible	4.973	Adjective
caught	4.972	Verb
song	4.971	Noun
spend	4.969	Verb
horse	4.967	Noun
ring	4.967	Noun
sell	4.964	Verb
personal	4.962	Adjective
return	4.962	Verb
bob	4.961	Name
message	4.961	Noun
system	4.961	Noun
hasn	4.957	Noun
tough	4.956	Adjective
christ	4.954	Name
count	4.954	Verb
peter	4.954	Name
quit	4.954	Verb
box	4.953	Noun
missed	4.952	Verb
charge	4.951	Noun
fool	4.951	Noun
kept	4.951	Verb
present	4.951	Noun
middle	4.95	Noun
simple	4.95	Adjective
calm	4.949	Verb
forever	4.948	Adverb
surprise	4.948	Noun
dark	4.947	Adjective
decided	4.947	Verb
anywhere	4.945	Adverb
land	4.945	Noun
miles	4.945	Noun
swear	4.945	Verb
mary	4.944	Name
missing	4.944	Verb
cute	4.943	Adjective
lying	4.942	Verb
dress	4.94	Noun
master	4.94	Noun
fix	4.938	Verb
key	4.938	Noun
strong	4.938	Adjective
johnny	4.936	Name
strange	4.936	Adjective
wearing	4.936	Verb
cop	4.935	Noun
rock	4.935	Noun
voice	4.935	Noun
bar	4.934	Noun
window	4.934	Noun
totally	4.933	Adverb
army	4.932	Noun
bought	4.932	Verb
paid	4.932	Verb
record	4.932	Noun
short	4.932	Adjective
card	4.931	Noun
certain	4.931	Adjective
college	4.93	Noun
bank	4.929	Noun
evidence	4.929	Noun
fly	4.929	Verb
besides	4.928	Adverb
ran	4.925	Verb
cops	4.924	Noun
test	4.924	Noun
history	4.923	Noun
born	4.922	Verb
finished	4.922	Verb
proud	4.922	Adjective
fish	4.921	Noun
join	4.921	Verb
lead	4.92	Verb
near	4.919	Preposition
smell	4.919	Verb
enjoy	4.917	Verb
letter	4.917	Noun
trip	4.915	Noun
harry	4.914	Name
mark	4.913	Name
store	4.913	Noun
amazing	4.912	Adjective
accident	4.91	Noun
danny	4.91	Name
star	4.91	Noun
imagine	4.908	Verb
doc	4.907	Noun
ought	4.907	Verb
pleasure	4.907	Noun
list	4.906	Noun
rich	4.905	Adjective
calls	4.904	Noun
jimmy	4.904	Name
entire	4.902	Adjective
service	4.902	Noun
judge	4.901	Noun
fat	4.9	Adjective
ice	4.9	Noun
lawyer	4.9	Noun
alright	4.899	Adverb
instead	4.899	Preposition
age	4.898	Noun
station	4.898	Noun
gold	4.897	Noun
realize	4.897	Verb
hundred	4.896	Noun
liked	4.896	Verb
seat	4.896	Noun
summer	4.895	Noun
dollars	4.894	Noun
angel	4.893	Noun
